date,infl,forcast
1990-02-01,0.6339372454110068,0.6339372454110068
1990-03-01,0.6456389042416688,0.6456389042416688
1990-05-01,0.6547986296933855,0.6547986296933855
1990-07-01,0.6749149645371076,0.6749149645371076
1990-08-01,0.6865727969302017,0.6865727969302017
1990-10-01,0.6963460925078706,0.6963460925078706
1990-11-01,0.696915836196255,0.696915836196255
1990-12-01,0.6922702338140446,0.6922702338140446
1991-02-01,0.6946368614427176,0.6946368614427176
1991-03-01,0.7149285020367121,0.7149285020367121
1991-05-01,0.7237814424254525,0.7237814424254525
1991-07-01,0.7381565139477638,0.7381565139477638
1991-08-01,0.7395151335123725,0.7395151335123725
1991-10-01,0.7425391577045661,0.7425391577045661
1991-11-01,0.7546352544733402,0.7546352544733402
1991-12-01,0.762041922422336,0.762041922422336
1992-02-01,0.7966648081010737,0.7966648081010737
1992-03-01,0.8043344346754775,0.8043344346754775
1992-05-01,0.8224785798286386,0.8224785798286386
1992-06-01,0.8306741236538591,0.8306741236538591
1992-08-01,0.8498701033086525,0.8498701033086525
1992-10-01,0.8778313704770508,0.8778313704770508
1992-11-01,0.8847559476127984,0.8847559476127984
1992-12-01,0.9004896386997182,0.9004896386997182
1993-02-01,0.9087728354000747,0.9087728354000747
1993-03-01,0.90754569514817,0.90754569514817
1993-05-01,0.9381803750082174,0.9381803750082174
1993-07-01,0.9585596684773477,0.9585596684773477
1993-08-01,0.9639064938606469,0.9639064938606469
1993-11-01,0.9958997932853031,0.9958997932853031
1993-12-01,1.003350287671867,1.003350287671867
1994-03-01,1.0361762894103155,1.0361762894103155
1994-11-01,1.1148885712824836,1.1148885712824836
1995-01-01,1.126108139299897,1.126108139299897
1995-03-01,1.1410967809481607,1.1410967809481607
1995-05-01,1.1620019916681075,1.1620019916681075
1995-07-01,1.1782616000058437,1.1782616000058437
1995-08-01,1.1936446795922195,1.1936446795922195
1995-09-01,1.200306298102559,1.200306298102559
1995-11-01,1.2156893776889348,1.2156893776889348
1995-12-01,1.234052655029936,1.234052655029936
1996-03-01,1.267273094706497,1.267273094706497
1996-05-01,1.2894054456783481,1.2894054456783481
1996-07-01,1.3017206746349623,1.3017206746349623
1996-08-01,1.3118445817131756,1.3118445817131756
1996-09-01,1.3213110922278686,1.3213110922278686
1996-11-01,1.3452403271400084,1.3452403271400084
1996-12-01,1.3572487710336467,1.3572487710336467
1997-03-01,1.3903815578350713,1.3903815578350713
1997-05-01,1.3930111440891528,1.3930111440891528
1997-07-01,1.4318413677744206,1.4318413677744206
1997-08-01,1.4485830669254052,1.4485830669254052
1997-09-01,1.4550255532479044,1.4550255532479044
1997-11-01,1.4810584571633099,1.4810584571633099
1997-12-01,1.4946446528093966,1.4946446528093966
1998-02-01,1.5085376335184597,1.5085376335184597
1998-03-01,1.5201516394739856,1.5201516394739856
1998-05-01,1.558543598783573,1.558543598783573
1998-06-01,1.5733569346815646,1.5733569346815646
1998-08-01,1.5967164259053204,1.5967164259053204
1998-09-01,1.6145099595579377,1.6145099595579377
1998-11-01,1.6363355254668124,1.6363355254668124
1998-12-01,1.6604838925667929,1.6604838925667929
1999-02-01,1.674201567525584,1.674201567525584
1999-03-01,1.6878315896092386,1.6878315896092386
1999-05-01,1.7285025236723635,1.7285025236723635
1999-06-01,1.7409054055041138,1.7409054055041138
1999-08-01,1.77267957274093,1.77267957274093
1999-10-01,1.8058123595423548,1.8058123595423548
1999-11-01,1.8215022241917065,1.8215022241917065
1999-12-01,1.8656792732602734,1.8656792732602734
2000-02-01,1.9011786876903713,1.9011786876903713
2000-03-01,1.9301479629228342,1.9301479629228342
2000-05-01,1.9397021263126628,1.9397021263126628
2000-06-01,1.9556111231498545,1.9556111231498545
2000-08-01,1.9798033166874032,1.9798033166874032
2000-10-01,2.018852672560511,2.018852672560511
2000-11-01,2.02507602669517,2.02507602669517
2000-12-01,2.0440528741621242,2.0440528741621242
2001-01-01,2.0577705491209146,2.0577705491209146
2001-03-01,2.062547630815829,2.0665661074077057
2001-05-01,2.0884928818560984,2.1038715714736798
2001-06-01,2.0944532773653495,2.105900377961095
2001-08-01,2.115577620273136,2.107072756100709
2001-10-01,2.159184925653318,2.1401889759780772
2001-11-01,2.1414352184382692,2.1632142786025126
